applicant_id,start_date,education,prior_years,readiness,persist_days
A0112,2025-07-08,학사,4.2,0.613,126.0
A0113,2025-02-13,비전공 부트캠프,0.3,0.605,131.0
A0114,2025-09-17,비전공 부트캠프,0.6,0.405,78.0
A0115,2025-10-30,학사,1.1,0.153,83.0
A0116,2025-02-12,석사,3.5,0.41,213.0
A0117,2025-03-16,학사,0.2,0.577,48.0
A0118,2025-11-30,학사,3.5,0.32,91.0
A0119,2025-07-20,학사,5.1,0.685,149.0
A0120,2025-07-19,전문학사,0.3,0.612,237.0
A0121,2025-03-10,학사,1.6,0.648,35.0
A0122,2025-02-26,학사,1.0,0.526,136.0
A0123,2025-08-05,비전공 부트캠프,0.2,0.302,99.0
A0124,2025-09-16,학사,1.9,0.168,36.0
A0125,2025-08-03,학사,1.2,0.693,74.0
A0126,2025-11-30,비전공 부트캠프,3.5,0.681,43.0
A0127,2025-07-22,학사,0.1,0.337,163.0
A0128,2025-05-14,비전공 부트캠프,4.1,0.733,185.0
A0129,2025-08-04,학사,0.5,0.51,63.0
A0130,2025-01-25,비전공 부트캠프,0.3,0.506,119.0
A0131,2025-04-15,학사,2.6,0.46,164.0
A0132,2025-01-29,전문학사,6.0,0.665,59.0
A0133,2025-08-31,석사,3.0,0.477,55.0
A0134,2025-04-23,학사,0.9,0.68,163.0
A0135,2025-10-28,석사,1.1,0.291,400.0
A0136,2025-07-22,석사,0.5,0.489,148.0
A0137,2025-04-17,학사,0.3,0.531,253.0
A0138,2025-03-06,학사,1.8,0.609,73.0
A0139,2025-01-04,비전공 부트캠프,2.5,0.576,123.0
A0140,2025-07-08,학사,0.9,0.364,162.0
A0141,2025-01-14,비전공 부트캠프,1.3,0.429,130.0
A0142,2025-08-13,학사,0.4,0.366,83.0
A0143,2025-06-16,학사,0.3,0.614,217.0
A0144,2025-09-18,비전공 부트캠프,4.1,0.77,65.0
A0145,2025-10-03,학사,10.1,0.273,157.0
A0146,2025-08-06,전문학사,1.5,0.68,123.0
A0147,2025-07-17,학사,0.5,0.149,202.0
A0148,2025-06-28,학사,1.8,0.492,135.0
A0149,2025-03-27,학사,2.6,0.484,98.0
A0150,2025-11-30,학사,2.2,0.505,153.0
A0151,2025-06-04,학사,0.7,0.328,119.0
A0152,2025-03-29,전문학사,1.3,0.235,31.0
A0153,2025-08-13,학사,0.5,0.603,80.0
A0154,2025-06-23,비전공 부트캠프,2.9,0.42,29.0
A0155,2025-05-20,학사,1.3,0.331,99.0
A0156,2025-05-16,비전공 부트캠프,2.1,0.267,110.0
A0157,2025-09-21,석사,0.1,0.489,61.0
A0158,2025-04-28,비전공 부트캠프,2.5,0.388,126.0
A0159,2025-05-22,석사,6.4,0.473,111.0
A0160,2025-08-01,학사,1.7,0.529,48.0
A0161,2025-01-07,석사,1.1,0.713,217.0
A0162,2025-03-26,학사,0.7,0.498,67.0
A0163,2025-09-24,학사,1.4,0.64,203.0
A0164,2025-07-26,,3.2,0.413,68.0
A0165,2025-06-28,전문학사,0.1,0.819,122.0
A0166,2025-10-10,학사,0.8,0.495,51.0
A0167,2025-05-23,,0.3,0.583,137.0
A0168,2025-09-16,학사,2.2,0.866,69.0
A0169,2025-08-20,석사,0.1,0.328,64.0
A0170,2025-09-09,학사,3.0,0.513,127.0
A0171,2025-05-20,학사,1.7,0.719,85.0
A0172,2025-01-19,학사,0.5,0.55,136.0
A0173,2025-07-21,학사,5.2,0.569,141.0
A0174,2025-05-07,학사,5.2,0.356,45.0
A0175,2025-02-28,비전공 부트캠프,3.9,0.378,125.0
A0176,2025-06-05,,1.1,0.585,109.0
A0177,2025-06-09,비전공 부트캠프,1.8,0.326,153.0
A0178,2025-01-26,학사,0.4,0.418,50.0
A0179,2025-11-22,학사,4.5,0.277,218.0
A0180,2025-03-31,전문학사,1.5,0.665,235.0
A0181,2025-09-12,석사,3.0,0.505,67.0
A0182,2025-09-05,석사,4.1,0.456,334.0
A0183,2025-06-14,석사,6.8,0.555,38.0
A0184,2025-02-04,학사,7.1,0.791,191.0
A0185,2025-01-21,석사,1.0,0.704,30.0
A0186,2025-09-08,학사,0.4,0.529,41.0
A0187,2025-08-04,석사,2.7,0.508,135.0
A0188,2025-11-24,전문학사,4.8,0.282,99.0
A0189,2025-06-26,석사,1.2,0.469,97.0
A0190,2025-05-04,학사,0.3,0.476,45.0
A0191,2025-01-16,석사,2.5,0.519,24.0
A0192,2025-03-26,학사,0.1,0.434,146.0
A0193,2025-08-02,석사,4.7,0.449,400.0
A0194,2025-02-21,학사,0.7,0.357,60.0
A0195,2025-05-31,비전공 부트캠프,2.4,0.718,156.0
A0196,2025-03-09,학사,0.4,0.59,70.0
A0197,2025-02-14,비전공 부트캠프,2.4,0.396,28.0
A0198,2025-06-22,비전공 부트캠프,6.9,0.528,125.0
A0199,2025-10-03,학사,0.7,0.442,38.0
A0200,2025-03-06,석사,6.2,0.553,46.0
A0201,2025-04-03,학사,0.5,0.579,85.0
A0202,2025-08-20,석사,1.8,0.521,47.0
A0203,2025-11-29,석사,0.7,0.359,72.0
A0204,2025-08-19,학사,1.2,0.513,213.0
A0205,2025-03-02,학사,1.3,0.561,54.0
A0206,2025-02-19,전문학사,0.2,0.608,72.0
A0207,2025-05-01,석사,0.7,0.487,141.0
A0208,2025-11-04,학사,1.1,0.418,33.0
A0209,2025-07-05,비전공 부트캠프,0.9,0.277,116.0
A0210,2025-07-27,,0.8,0.272,133.0
A0211,2025-07-08,비전공 부트캠프,4.2,0.329,234.0
A0212,2025-09-08,학사,1.2,0.238,136.0
A0213,2025-09-07,학사,2.2,0.738,149.0
A0214,2025-02-09,학사,4.9,0.625,144.0
A0215,2025-09-07,석사,1.4,0.581,53.0
A0216,2025-06-29,석사,2.4,0.59,134.0
A0217,2025-06-10,학사,1.1,0.539,74.0
A0218,2025-01-28,비전공 부트캠프,0.2,0.578,151.0
A0219,2025-04-06,학사,0.4,0.313,78.0
A0220,2025-06-23,비전공 부트캠프,2.2,0.203,160.0
A0221,2025-01-20,비전공 부트캠프,4.9,0.69,108.0
A0222,2025-01-15,전문학사,0.5,0.423,72.0
A0223,2025-05-09,석사,2.5,0.175,59.0
A0224,2025-07-06,학사,2.3,0.584,74.0
A0225,2025-05-01,학사,1.0,0.744,129.0
A0226,2025-09-05,석사,5.1,0.458,400.0
A0227,2025-10-10,학사,3.3,0.39,127.0
A0228,2025-02-06,학사,4.7,0.499,60.0
A0229,2025-02-25,학사,2.2,0.263,76.0
A0230,2025-09-14,,1.2,0.525,178.0
A0231,2025-07-20,비전공 부트캠프,0.9,0.288,233.0
A0232,2025-05-29,비전공 부트캠프,1.9,0.361,46.0
A0233,2025-04-21,학사,0.4,0.649,88.0
A0234,2025-06-29,,3.4,0.135,99.0
A0235,2025-04-26,비전공 부트캠프,0.0,0.403,46.0
A0236,2025-07-30,학사,0.3,0.565,78.0
A0237,2025-04-18,학사,0.0,0.791,92.0
A0238,2025-04-06,학사,5.8,0.717,72.0
A0239,2025-10-20,비전공 부트캠프,4.7,0.729,286.0
A0240,2025-09-03,비전공 부트캠프,1.4,0.4,118.0
A0241,2025-02-03,비전공 부트캠프,1.4,0.489,144.0
A0242,2025-05-30,석사,3.8,0.593,76.0
A0243,2025-08-29,비전공 부트캠프,2.1,0.394,146.0
A0244,2025-03-01,,3.4,0.489,94.0
A0245,2025-07-27,학사,0.5,0.299,42.0
A0246,2025-04-08,학사,1.1,0.721,166.0
A0247,2025-05-27,전문학사,0.5,0.454,82.0
A0248,2025-02-24,,1.4,0.577,256.0
A0249,2025-05-29,비전공 부트캠프,0.9,0.454,383.0
A0250,2025-04-30,석사,0.6,0.436,54.0
A0251,2025-03-02,학사,6.3,0.212,71.0
A0252,2025-02-14,비전공 부트캠프,0.8,0.633,29.0
A0253,2025-11-12,전문학사,0.6,0.575,25.0
A0254,2025-01-03,석사,0.1,0.528,81.0
A0255,2025-07-25,석사,3.0,0.486,49.0
A0256,2025-11-21,전문학사,2.0,0.295,31.0
A0257,2025-11-21,전문학사,2.0,0.781,114.0
A0258,2025-06-30,,2.8,0.363,76.0
A0259,2025-09-06,석사,4.3,0.684,110.0
A0260,2025-01-13,학사,3.1,0.875,39.0
A0261,2025-06-03,비전공 부트캠프,4.6,0.453,148.0
A0262,2025-09-23,학사,4.1,0.717,254.0
A0263,2025-11-12,,2.8,0.515,99.0
A0264,2025-04-27,,1.6,0.591,75.0
A0265,2025-05-10,학사,3.5,0.674,43.0
A0266,2025-10-13,학사,2.4,0.699,169.0
A0267,2025-02-09,,0.9,0.436,122.0
A0268,2025-09-04,학사,4.1,0.709,57.0
A0269,2025-08-27,,1.6,0.143,268.0
A0270,2025-10-28,학사,0.6,0.378,55.0
A0271,2025-07-03,학사,0.1,0.501,67.0
A0272,2025-04-26,비전공 부트캠프,0.6,0.477,74.0
A0273,2025-08-01,학사,0.5,0.694,127.0
A0274,2025-06-01,학사,0.8,0.609,71.0
A0275,2025-07-14,학사,0.7,0.337,130.0
A0276,2025-09-24,학사,2.9,0.474,288.0
A0277,2025-11-06,학사,5.6,0.34,79.0
A0278,2025-04-07,비전공 부트캠프,1.3,0.471,113.0
A0279,2025-06-10,비전공 부트캠프,2.3,0.632,95.0
A0280,2025-07-01,학사,0.1,0.526,45.0
A0281,2025-01-15,,1.7,0.29,67.0
A0282,2025-07-13,학사,1.5,0.26,103.0
A0283,2025-09-24,비전공 부트캠프,0.8,0.551,102.0
A0284,2025-03-24,비전공 부트캠프,1.3,0.301,93.0
A0285,2025-11-22,학사,2.2,0.204,206.0
A0286,2025-02-28,전문학사,1.3,0.625,61.0
A0287,2025-10-12,학사,1.1,0.229,159.0
A0288,2025-06-07,학사,1.0,0.629,64.0
A0289,2025-02-11,학사,1.3,0.643,184.0
A0290,2025-01-28,학사,0.8,0.39,71.0
A0291,2025-08-05,비전공 부트캠프,7.7,0.659,101.0
A0292,2025-06-14,학사,4.0,0.476,108.0
A0293,2025-04-01,,0.5,0.311,217.0
A0294,2025-05-30,비전공 부트캠프,5.7,0.395,123.0
A0295,2025-05-02,,0.5,0.522,24.0
A0296,2025-06-10,비전공 부트캠프,3.4,0.696,73.0
A0297,2025-08-04,,0.7,0.494,106.0
A0298,2025-04-07,,2.2,0.221,127.0
A0299,2025-06-06,학사,10.2,0.608,114.0
A0300,2025-11-17,학사,1.2,0.649,140.0
A0301,2025-02-05,전문학사,1.4,0.533,124.0
A0302,2025-09-02,비전공 부트캠프,2.5,0.688,87.0
A0303,2025-07-11,,1.3,0.515,52.0
A0304,2025-01-29,학사,3.1,0.683,86.0
A0305,2025-05-01,비전공 부트캠프,1.1,0.041,76.0
A0306,2025-05-23,전문학사,4.5,0.418,49.0
A0307,2025-05-18,학사,6.0,0.42,31.0
A0308,2025-10-24,학사,10.3,0.543,114.0
A0309,2025-10-28,석사,0.5,0.33,139.0
A0310,2025-04-10,학사,0.9,0.466,87.0
A0311,2025-08-02,전문학사,2.3,0.814,209.0
A0312,2025-11-30,학사,0.4,0.357,81.0
A0313,2025-09-29,비전공 부트캠프,1.1,0.649,68.0
A0314,2025-05-06,학사,0.0,0.681,77.0
A0315,2025-03-06,학사,2.4,0.64,52.0
A0316,2025-04-22,비전공 부트캠프,0.2,0.523,158.0
A0317,2025-11-29,학사,0.9,0.474,133.0
A0318,2025-01-08,비전공 부트캠프,2.9,0.634,56.0
A0319,2025-08-02,비전공 부트캠프,0.7,0.41,164.0
A0320,2025-09-14,전문학사,2.0,0.545,242.0
A0321,2025-03-31,비전공 부트캠프,5.8,0.593,101.0
A0322,2025-01-18,비전공 부트캠프,3.8,0.793,77.0
A0323,2025-06-23,석사,0.1,0.559,142.0
A0324,2025-06-21,학사,0.2,0.338,110.0
A0325,2025-09-03,학사,0.5,0.605,35.0
A0326,2025-05-01,전문학사,1.1,0.681,123.0
A0327,2025-10-17,학사,4.5,0.67,127.0
A0328,2025-10-26,학사,2.3,0.105,237.0
A0329,2025-03-04,학사,2.8,0.613,82.0
A0330,2025-02-15,학사,4.1,0.485,65.0
A0331,2025-03-06,학사,1.2,0.208,52.0
A0332,2025-11-03,학사,6.7,0.744,85.0
A0333,2025-04-15,학사,0.1,0.153,38.0
A0334,2025-06-19,석사,1.5,0.411,179.0
A0335,2025-07-18,비전공 부트캠프,3.0,0.659,131.0
A0336,2025-10-08,학사,1.8,0.357,126.0
A0337,2025-11-09,학사,2.7,0.915,91.0
A0338,2025-11-26,전문학사,1.9,0.325,173.0
A0339,2025-05-03,학사,0.2,0.556,167.0
A0340,2025-08-21,비전공 부트캠프,2.4,0.419,89.0
A0341,2025-08-12,학사,2.1,0.35,293.0
A0342,2025-06-23,학사,1.7,0.505,173.0
A0343,2025-05-30,학사,0.2,0.496,51.0
A0344,2025-07-08,비전공 부트캠프,2.2,0.218,65.0
A0345,2025-07-17,학사,0.5,0.593,137.0
A0346,2025-01-23,,4.2,0.627,26.0
A0347,2025-11-24,비전공 부트캠프,1.1,0.518,241.0
A0348,2025-11-12,비전공 부트캠프,3.2,0.585,147.0
A0349,2025-06-11,석사,5.7,0.569,115.0
A0350,2025-08-28,학사,1.6,0.491,321.0
A0351,2025-04-27,석사,2.5,0.618,134.0
A0352,2025-05-31,석사,2.5,0.215,83.0
A0353,2025-05-07,비전공 부트캠프,2.7,0.559,103.0
A0354,2025-08-19,석사,0.4,0.607,276.0
A0355,2025-08-07,비전공 부트캠프,0.7,0.539,74.0
A0356,2025-11-16,학사,0.7,0.618,82.0
A0357,2025-10-14,비전공 부트캠프,0.9,0.47,130.0
A0358,2025-02-12,비전공 부트캠프,2.0,0.624,50.0
A0359,2025-04-03,석사,2.9,0.69,169.0
A0360,2025-08-13,학사,3.3,0.34,29.0
A0361,2025-06-08,비전공 부트캠프,0.3,0.366,98.0
A0362,2025-02-12,학사,2.7,0.525,105.0
A0363,2025-01-15,비전공 부트캠프,1.1,0.401,100.0
A0364,2025-07-08,석사,0.2,0.64,66.0
A0365,2025-03-12,,3.6,0.331,61.0
A0366,2025-07-12,전문학사,1.4,0.494,208.0
A0367,2025-02-04,학사,0.4,0.619,166.0
A0368,2025-03-18,석사,0.4,0.771,105.0
A0369,2025-11-25,비전공 부트캠프,1.2,0.086,79.0
A0370,2025-02-21,,0.9,0.692,108.0
A0371,2025-04-15,비전공 부트캠프,0.6,0.485,227.0
A0372,2025-03-19,석사,0.6,0.167,162.0
A0373,2025-02-04,학사,0.2,0.693,74.0
A0374,2025-09-08,전문학사,0.3,0.357,125.0
A0375,2025-08-01,석사,0.6,0.55,66.0
A0376,2025-04-16,학사,1.4,0.619,269.0
A0377,2025-10-05,전문학사,0.9,0.484,79.0
A0378,2025-07-18,비전공 부트캠프,1.3,0.82,122.0
A0379,2025-06-07,비전공 부트캠프,2.4,0.471,82.0
A0380,2025-06-10,학사,3.9,0.929,150.0
A0381,2025-04-18,,2.9,0.39,47.0
A0382,2025-02-25,학사,0.5,0.6,84.0
A0383,2025-03-30,학사,0.2,0.663,164.0
A0384,2025-10-01,학사,0.7,0.548,64.0
A0385,2025-03-09,학사,2.7,0.45,75.0
A0386,2025-04-24,석사,4.8,0.522,122.0
A0387,2025-09-03,학사,1.3,0.356,218.0
A0388,2025-09-01,전문학사,0.8,0.596,115.0
A0389,2025-10-20,학사,2.4,0.687,121.0
A0390,2025-11-26,학사,1.5,0.52,68.0
A0391,2025-04-27,전문학사,2.1,0.683,199.0
A0392,2025-08-21,학사,0.7,0.508,38.0
A0393,2025-05-12,석사,3.1,0.208,136.0
A0394,2025-04-23,비전공 부트캠프,2.7,0.555,78.0
A0395,2025-05-12,석사,6.9,0.439,103.0
A0396,2025-09-15,비전공 부트캠프,0.7,0.471,120.0
A0397,2025-11-14,학사,5.4,0.262,48.0
A0398,2025-02-02,학사,4.3,0.43,43.0
A0399,2025-05-29,학사,1.0,0.483,54.0
A0400,2025-06-15,학사,1.2,0.46,68.0
A0401,2025-04-01,전문학사,0.6,0.272,143.0
A0402,2025-05-17,학사,0.4,0.579,45.0
A0403,2025-04-17,전문학사,0.8,0.756,46.0
A0404,2025-08-08,전문학사,0.6,0.65,29.0
A0405,2025-06-29,학사,1.5,0.566,41.0
A0406,2025-09-28,학사,1.7,0.337,378.0
A0407,2025-05-16,학사,9.9,0.459,41.0
A0408,2025-02-27,석사,2.4,0.466,133.0
A0409,2025-05-11,학사,2.0,0.61,54.0
A0410,2025-08-06,전문학사,1.4,0.482,141.0
A0411,2025-05-29,비전공 부트캠프,1.8,0.539,103.0
A0412,2025-01-03,전문학사,1.9,0.475,285.0
A0413,2025-10-05,비전공 부트캠프,1.0,0.427,153.0
A0414,2025-01-06,학사,1.5,0.493,151.0
A0415,2025-02-28,비전공 부트캠프,1.5,0.367,60.0
A0416,2025-11-10,전문학사,1.7,0.354,226.0
A0417,2025-11-02,학사,1.9,0.421,75.0
A0418,2025-09-29,석사,0.4,0.551,174.0
A0419,2025-07-09,석사,0.6,0.574,64.0
A0420,2025-10-05,비전공 부트캠프,1.5,0.677,45.0
A0421,2025-02-04,전문학사,1.7,0.412,126.0
A0422,2025-06-27,비전공 부트캠프,0.5,0.343,26.0
A0423,2025-08-06,학사,2.0,0.58,71.0
A0424,2025-01-06,학사,4.3,0.462,161.0
A0425,2025-11-16,,0.1,0.445,88.0
A0426,2025-02-18,비전공 부트캠프,2.9,0.126,104.0
A0427,2025-11-18,학사,1.4,0.57,156.0
A0428,2025-10-04,학사,1.5,0.419,114.0
A0429,2025-05-13,학사,3.5,0.295,88.0
A0430,2025-02-17,학사,2.5,0.358,91.0
A0431,2025-09-13,학사,0.6,0.683,108.0
A0432,2025-10-27,전문학사,2.0,0.583,20.0
A0433,2025-04-01,학사,2.7,0.571,75.0
A0434,2025-06-30,전문학사,3.6,0.527,127.0
A0435,2025-06-25,비전공 부트캠프,0.8,0.395,197.0
A0436,2025-07-03,학사,4.0,0.826,57.0
A0437,2025-11-04,학사,0.5,0.42,58.0
A0438,2025-11-15,학사,0.6,0.595,90.0
A0439,2025-09-23,학사,2.8,0.726,70.0
A0440,2025-11-03,학사,0.8,0.413,152.0
A0441,2025-04-05,비전공 부트캠프,1.1,0.332,168.0
A0442,2025-04-04,비전공 부트캠프,1.6,0.627,107.0
A0443,2025-01-06,비전공 부트캠프,0.5,0.154,400.0
A0444,2025-11-06,학사,0.2,0.621,41.0
A0445,2025-07-02,학사,2.1,0.695,130.0
A0446,2025-08-17,학사,4.0,0.736,221.0
A0447,2025-03-30,학사,2.1,0.501,42.0
A0448,2025-05-25,학사,1.5,0.367,25.0
A0449,2025-06-06,비전공 부트캠프,2.0,0.446,82.0
A0450,2025-06-04,학사,1.5,0.489,42.0
A0451,2025-11-20,학사,2.9,0.222,67.0
A0452,2025-05-31,학사,0.3,0.669,95.0
A0453,2025-04-02,석사,0.2,0.369,122.0
A0454,2025-05-09,학사,2.1,0.649,211.0
A0455,2025-10-12,비전공 부트캠프,3.0,0.501,28.0
A0456,2025-09-24,석사,2.4,0.36,20.0
A0457,2025-06-17,비전공 부트캠프,2.2,0.486,138.0
A0458,2025-06-05,학사,1.0,0.416,78.0
A0459,2025-01-07,비전공 부트캠프,2.2,0.509,167.0
A0460,2025-02-18,학사,5.9,0.054,78.0
A0461,2025-11-28,학사,7.4,0.815,117.0
A0462,2025-09-23,석사,2.5,0.952,104.0
A0463,2025-08-24,비전공 부트캠프,1.9,0.387,175.0
A0464,2025-03-25,,0.1,0.816,143.0
A0465,2025-07-20,학사,1.0,0.553,71.0
A0466,2025-08-17,비전공 부트캠프,1.0,0.613,101.0
A0467,2025-06-30,석사,0.8,0.531,186.0
A0468,2025-05-08,비전공 부트캠프,1.0,0.371,115.0
A0469,2025-05-05,학사,1.4,0.443,166.0
A0470,2025-09-12,비전공 부트캠프,1.1,0.429,51.0
A0471,2025-01-04,학사,2.1,0.465,95.0
A0472,2025-11-03,전문학사,0.2,0.432,248.0
A0473,2025-09-01,학사,1.1,0.701,126.0
A0474,2025-10-19,,0.9,0.505,55.0
A0475,2025-02-04,비전공 부트캠프,0.0,0.552,77.0
A0476,2025-02-25,학사,3.2,0.373,65.0
A0477,2025-10-17,비전공 부트캠프,0.5,0.39,78.0
A0478,2025-08-23,,0.5,0.52,63.0
A0479,2025-03-04,학사,2.6,0.17,86.0
A0480,2025-08-26,학사,2.2,0.51,85.0
A0481,2025-07-22,학사,0.5,0.471,33.0
A0482,2025-02-24,학사,2.1,0.566,255.0
A0483,2025-08-12,학사,0.3,0.581,188.0
A0484,2025-10-15,석사,1.0,0.253,38.0
A0485,2025-06-10,학사,2.6,0.525,192.0
A0486,2025-08-25,,3.8,0.494,42.0
A0487,2025-08-30,학사,3.0,0.694,77.0
A0488,2025-11-18,학사,2.3,0.449,95.0
A0489,2025-07-09,비전공 부트캠프,1.0,0.812,55.0
A0490,2025-01-22,학사,0.8,0.453,345.0
A0491,2025-07-24,비전공 부트캠프,5.3,0.619,140.0
A0492,2025-11-10,학사,0.6,0.505,280.0
A0493,2025-11-07,학사,0.9,0.324,47.0
A0494,2025-05-19,학사,0.8,0.332,28.0
A0495,2025-02-13,학사,1.4,0.883,147.0
A0496,2025-05-20,학사,0.8,0.777,51.0
A0497,2025-08-06,석사,1.1,0.633,105.0
A0498,2025-07-21,비전공 부트캠프,7.4,0.43,64.0
A0499,2025-02-25,학사,3.2,0.729,198.0
A0500,2025-10-19,비전공 부트캠프,0.9,0.417,49.0
A0501,2025-06-05,,1.6,0.722,20.0
A0502,2025-11-24,전문학사,3.3,0.318,111.0
A0503,2025-06-08,학사,2.8,0.462,97.0
A0504,2025-10-02,학사,5.1,0.503,119.0
A0505,2025-06-15,학사,7.1,0.668,69.0
