posting_id,company,role,employment_type,industry,has_test,competition
P0144,회사12,BA (Business Analyst),계약직,배달/배송,True,0.742
P0145,회사28,Growth Analyst,신입,,True,0.771
P0146,회사21,Product Analyst,경력,게임,True,0.705
P0147,회사20,BA (Business Analyst),전환형 인턴,게임,False,0.579
P0148,회사11,DA (Data Analyst),인턴,배달/배송,False,0.668
P0149,회사13,DA (Data Analyst),계약직,리테일,True,0.337
P0150,회사04,Growth Analyst,경력,배달/배송,False,0.463
P0151,회사11,Data Scientist,신입,게임,False,0.712
P0152,회사17,BA (Business Analyst),경력,물류,True,0.797
P0153,회사23,BA (Business Analyst),경력,교육,False,0.324
P0154,회사34,BA (Business Analyst),경력,미디어,False,0.532
P0155,회사19,Product Analyst,신입,모바일·APP,False,0.073
P0156,회사22,BA (Business Analyst),계약직,헬스케어,True,0.445
P0157,회사17,Growth Analyst,전환형 인턴,모바일·APP,False,0.596
P0158,회사07,BA (Business Analyst),신입,금융,False,0.883
P0159,회사17,Data Scientist,신입,경영 컨설팅,True,0.492
P0160,회사14,Data Scientist,전환형 인턴,배달/배송,False,0.59
P0161,회사21,DA (Data Analyst),신입,리테일,False,0.623
P0162,회사19,DA (Data Analyst),신입,리테일,True,0.5
P0163,회사29,DA (Data Analyst),신입,모바일·APP,False,0.382
P0164,회사31,DA (Data Analyst),경력,금융,False,0.705
P0165,회사16,Data Scientist,신입,물류,False,0.499
P0166,회사24,Growth Analyst,신입,헬스케어,False,0.198
P0167,회사12,DA (Data Analyst),신입,리테일,True,0.651
P0168,회사26,Data Scientist,경력,미디어,False,0.284
P0169,회사14,Data Scientist,경력,리테일,False,0.385
P0170,회사26,Growth Analyst,경력,게임,True,0.449
P0171,회사31,Product Analyst,계약직,경영 컨설팅,False,0.312
P0172,회사26,BI Engineer,경력,경영 컨설팅,False,0.292
P0173,회사33,DA (Data Analyst),계약직,배달/배송,False,0.64
P0174,회사25,BI Engineer,인턴,금융,False,0.678
P0175,회사22,Data Scientist,신입,금융,True,0.291
P0176,회사23,DA (Data Analyst),인턴,경영 컨설팅,False,0.122
P0177,회사22,Growth Analyst,경력,경영 컨설팅,False,0.24
P0178,회사21,Data Scientist,계약직,물류,True,0.8
P0179,회사26,Product Analyst,계약직,금융,False,0.346
P0180,회사17,DA (Data Analyst),계약직,,False,0.693
P0181,회사12,BA (Business Analyst),신입,,False,0.697
P0182,회사12,Data Scientist,인턴,금융,False,0.538
P0183,회사11,Product Analyst,인턴,,False,0.614
P0184,회사28,DA (Data Analyst),전환형 인턴,게임,False,0.727
P0185,회사11,DA (Data Analyst),전환형 인턴,물류,False,0.606
P0186,회사17,Product Analyst,신입,헬스케어,False,0.082
P0187,회사19,BI Engineer,경력,금융,False,0.144
P0188,회사09,BI Engineer,신입,교육,False,0.653
P0189,회사12,Product Analyst,신입,미디어,False,0.451
P0190,회사31,Growth Analyst,전환형 인턴,,False,0.652
P0191,회사22,BI Engineer,신입,,True,0.769
P0192,회사30,Growth Analyst,신입,헬스케어,False,0.585
P0193,회사23,BA (Business Analyst),인턴,게임,False,0.297
P0194,회사32,BI Engineer,신입,금융,False,0.559
P0195,회사28,Product Analyst,신입,물류,False,0.509
P0196,회사11,BI Engineer,계약직,리테일,True,0.721
P0197,회사12,Data Scientist,신입,리테일,True,0.624
P0198,회사22,BA (Business Analyst),계약직,게임,False,0.186
P0199,회사21,BA (Business Analyst),경력,물류,False,0.38
P0200,회사27,DA (Data Analyst),신입,금융,False,0.541
P0201,회사33,BA (Business Analyst),경력,물류,False,0.643
P0202,회사16,Product Analyst,신입,경영 컨설팅,True,0.698
P0203,회사17,DA (Data Analyst),경력,물류,True,0.356
P0204,회사31,DA (Data Analyst),인턴,교육,False,0.488
P0205,회사17,Product Analyst,경력,게임,False,0.624
P0206,회사21,BI Engineer,경력,,True,0.636
P0207,회사12,Growth Analyst,신입,게임,False,0.094
P0208,회사19,DA (Data Analyst),전환형 인턴,금융,False,0.323
P0209,회사19,BA (Business Analyst),신입,금융,False,0.495
P0210,회사26,Growth Analyst,신입,,False,0.487
P0211,회사11,Product Analyst,경력,경영 컨설팅,False,0.917
P0212,회사25,BI Engineer,신입,모바일·APP,True,0.374
P0213,회사19,BI Engineer,신입,물류,False,0.274
P0214,회사22,BA (Business Analyst),계약직,,True,0.872
P0215,회사28,BA (Business Analyst),전환형 인턴,물류,False,0.578
P0216,회사17,BA (Business Analyst),경력,모바일·APP,True,0.748
P0217,회사34,BA (Business Analyst),전환형 인턴,미디어,True,0.646
P0218,회사15,DA (Data Analyst),신입,미디어,False,0.337
P0219,회사27,Product Analyst,인턴,미디어,False,0.142
P0220,회사22,DA (Data Analyst),인턴,리테일,False,0.444
P0221,회사32,Growth Analyst,계약직,교육,True,0.758
P0222,회사17,Product Analyst,경력,,True,0.767
P0223,회사13,Growth Analyst,경력,미디어,True,0.49
P0224,회사16,Growth Analyst,신입,,True,0.203
P0225,회사33,Data Scientist,경력,헬스케어,True,0.372
P0226,회사34,Growth Analyst,전환형 인턴,리테일,True,0.192
P0227,회사02,Data Scientist,신입,게임,False,0.357
P0228,회사31,Growth Analyst,경력,헬스케어,True,0.706
P0229,회사18,Data Scientist,계약직,배달/배송,False,0.652
P0230,회사13,DA (Data Analyst),경력,물류,False,0.366
P0231,회사19,Product Analyst,전환형 인턴,금융,False,0.75
P0232,회사17,BI Engineer,신입,물류,False,0.916
P0233,회사18,BA (Business Analyst),신입,게임,False,0.295
P0234,회사29,Product Analyst,인턴,,True,0.727
P0235,회사12,Product Analyst,인턴,헬스케어,False,0.884
P0236,회사26,BA (Business Analyst),신입,리테일,False,0.631
P0237,회사23,Data Scientist,신입,경영 컨설팅,False,0.441
P0238,회사25,BI Engineer,전환형 인턴,금융,False,0.253
P0239,회사28,Product Analyst,계약직,모바일·APP,True,0.718
P0240,회사11,Data Scientist,신입,교육,True,0.368
