application_id,applicant_id,posting_id,company,role,industry,employment_type,applied_date,fit_score
J04076,A0424,P0127,회사06,Product Analyst,리테일,신입,2025-01-22,0.59
J00788,A0084,P0022,회사29,Data Scientist,,신입,2025-01-22,0.893
J04691,A0490,P0215,회사28,BA (Business Analyst),물류,전환형 인턴,2025-01-22,0.924
J02503,A0260,P0096,회사27,BI Engineer,,신입,2025-01-22,0.738
J03322,A0346,P0079,회사08,Growth Analyst,게임,신입,2025-01-23,0.51
J00517,A0054,P0226,회사34,Growth Analyst,리테일,전환형 인턴,2025-01-23,0.534
J01405,A0141,P0073,회사27,BA (Business Analyst),,인턴,2025-01-23,0.481
J04521,A0471,P0050,회사14,BA (Business Analyst),미디어,신입,2025-01-24,0.442
J00208,A0023,P0086,회사18,BI Engineer,교육,경력,2025-01-24,0.665
J00626,A0065,P0189,회사12,Product Analyst,미디어,신입,2025-01-24,0.872
J04259,A0443,P0176,회사23,DA (Data Analyst),경영 컨설팅,인턴,2025-01-24,0.483
J04386,A0459,P0170,회사26,Growth Analyst,게임,경력,2025-01-24,0.523
J02172,A0222,P0169,회사14,Data Scientist,리테일,경력,2025-01-24,0.388
J01252,A0130,P0049,회사30,DA (Data Analyst),물류,계약직,2025-01-25,0.438
J01886,A0191,P0204,회사31,DA (Data Analyst),교육,인턴,2025-01-25,0.192
J00921,A0094,P0063,회사13,DA (Data Analyst),게임,신입,2025-01-25,0.367
J03958,A0412,P0082,회사27,DA (Data Analyst),헬스케어,경력,2025-01-25,0.38
J00694,A0073,P0105,회사31,Product Analyst,모바일·APP,경력,2025-01-25,0.439
J00137,A0016,P0122,회사21,Product Analyst,,전환형 인턴,2025-01-26,0.758
J01839,A0185,P0168,회사26,Data Scientist,미디어,경력,2025-01-26,0.786
J01790,A0178,P0118,회사20,BI Engineer,미디어,전환형 인턴,2025-01-26,0.285
J01607,A0161,P0180,회사17,DA (Data Analyst),,계약직,2025-01-26,0.915
J00518,A0054,P0167,회사12,DA (Data Analyst),리테일,신입,2025-01-27,0.451
J03470,A0363,P0134,회사23,Growth Analyst,배달/배송,전환형 인턴,2025-01-27,0.444
J02696,A0281,P0086,회사18,BI Engineer,교육,경력,2025-01-27,0.413
J02778,A0290,P0209,회사19,BA (Business Analyst),금융,신입,2025-01-28,0.727
J04077,A0424,P0146,회사21,Product Analyst,게임,경력,2025-01-28,0.449
J02117,A0218,P0006,회사24,Growth Analyst,물류,신입,2025-01-28,0.611
J03055,A0318,P0123,회사20,Product Analyst,배달/배송,경력,2025-01-28,0.709
J01283,A0132,P0221,회사32,Growth Analyst,교육,계약직,2025-01-29,0.89
J01406,A0141,P0055,회사30,BA (Business Analyst),리테일,경력,2025-01-29,0.331
J02926,A0304,P0165,회사16,Data Scientist,물류,신입,2025-01-29,0.495
J01726,A0172,P0118,회사20,BI Engineer,미디어,전환형 인턴,2025-01-29,0.669
J03995,A0414,P0005,회사11,Growth Analyst,,경력,2025-01-29,0.573
J02504,A0260,P0185,회사11,DA (Data Analyst),물류,전환형 인턴,2025-01-30,0.99
J00508,A0053,P0163,회사29,DA (Data Analyst),모바일·APP,신입,2025-01-30,0.497
J03093,A0322,P0078,회사19,Product Analyst,,경력,2025-01-30,0.585
J04260,A0443,P0202,회사16,Product Analyst,경영 컨설팅,신입,2025-01-31,0.131
J04260,A0443,P0202,회사16,Product Analyst,경영 컨설팅,신입,2025-01-31,0.131
J01887,A0191,P0239,회사28,Product Analyst,모바일·APP,계약직,2025-01-31,0.721
J00695,A0073,P0068,회사24,BI Engineer,리테일,계약직,2025-01-31,0.325
J01791,A0178,P0135,회사20,Product Analyst,,인턴,2025-01-31,0.174
J01253,A0130,P0081,회사34,DA (Data Analyst),교육,계약직,2025-02-01,0.301
J02165,A0221,P0033,회사14,BA (Business Analyst),금융,전환형 인턴,2025-02-01,0.746
J03471,A0363,P0097,회사23,Growth Analyst,모바일·APP,신입,2025-02-01,0.2
J02697,A0281,P0225,회사33,Data Scientist,헬스케어,경력,2025-02-01,0.306
J00519,A0054,P0183,회사11,Product Analyst,,인턴,2025-02-02,0.551
J02462,A0254,P0162,회사19,DA (Data Analyst),리테일,신입,2025-02-02,0.664
J00789,A0084,P0046,회사25,Growth Analyst,미디어,전환형 인턴,2025-02-02,0.841
J04692,A0490,P0106,회사16,Data Scientist,물류,신입,2025-02-02,0.231
J00138,A0016,P0046,회사25,Growth Analyst,미디어,전환형 인턴,2025-02-02,0.652
J02118,A0218,P0228,회사31,Growth Analyst,헬스케어,경력,2025-02-02,0.81
J03849,A0398,P0075,회사10,Product Analyst,교육,신입,2025-02-02,0.477
J03094,A0322,P0152,회사17,BA (Business Analyst),물류,경력,2025-02-03,0.99
J01840,A0185,P0104,회사27,DA (Data Analyst),모바일·APP,신입,2025-02-03,0.565
J02334,A0241,P0060,회사23,BI Engineer,물류,신입,2025-02-03,0.195
J00627,A0065,P0180,회사17,DA (Data Analyst),,계약직,2025-02-03,0.313
J00209,A0023,P0137,회사23,Product Analyst,모바일·APP,신입,2025-02-03,0.556
J01608,A0161,P0116,회사32,BA (Business Analyst),금융,전환형 인턴,2025-02-04,0.762
J01382,A0139,P0058,회사26,BA (Business Analyst),경영 컨설팅,계약직,2025-02-04,0.761
J04050,A0421,P0116,회사32,BA (Business Analyst),금융,전환형 인턴,2025-02-04,0.36
J01827,A0184,P0098,회사11,Data Scientist,게임,신입,2025-02-04,0.96
J03959,A0412,P0019,회사17,Growth Analyst,모바일·APP,인턴,2025-02-04,0.06
J04556,A0475,P0007,회사14,BA (Business Analyst),경영 컨설팅,전환형 인턴,2025-02-04,0.647
J03590,A0373,P0084,회사20,Product Analyst,,경력,2025-02-04,0.777
J03514,A0367,P0048,회사12,Growth Analyst,교육,신입,2025-02-04,0.663
J03996,A0414,P0003,회사28,BA (Business Analyst),교육,전환형 인턴,2025-02-05,0.416
J02902,A0301,P0136,회사12,Growth Analyst,모바일·APP,신입,2025-02-05,0.282
J04522,A0471,P0132,회사21,DA (Data Analyst),금융,계약직,2025-02-05,0.764
J04868,A0509,P0124,회사18,DA (Data Analyst),,경력,2025-02-05,0.492
J01254,A0130,P0057,회사11,DA (Data Analyst),헬스케어,경력,2025-02-05,0.839
J03323,A0346,P0212,회사25,BI Engineer,모바일·APP,신입,2025-02-06,0.592
J02927,A0304,P0214,회사22,BA (Business Analyst),,계약직,2025-02-06,0.91
J02218,A0228,P0099,회사26,BA (Business Analyst),물류,경력,2025-02-06,0.465
J03472,A0363,P0080,회사19,Growth Analyst,게임,경력,2025-02-06,0.227
J01888,A0191,P0172,회사26,BI Engineer,경영 컨설팅,경력,2025-02-07,0.474
J00696,A0073,P0211,회사11,Product Analyst,경영 컨설팅,경력,2025-02-07,0.584
J02463,A0254,P0045,회사11,Product Analyst,경영 컨설팅,인턴,2025-02-07,0.729
J04387,A0459,P0134,회사23,Growth Analyst,배달/배송,전환형 인턴,2025-02-07,0.636
J00892,A0093,P0147,회사20,BA (Business Analyst),게임,전환형 인턴,2025-02-08,0.811
J04693,A0490,P0213,회사19,BI Engineer,물류,신입,2025-02-08,0.751
J00790,A0084,P0202,회사16,Product Analyst,경영 컨설팅,신입,2025-02-08,0.782
J04261,A0443,P0191,회사22,BI Engineer,,신입,2025-02-08,0.344
J03095,A0322,P0178,회사21,Data Scientist,물류,계약직,2025-02-08,0.9
J03056,A0318,P0047,회사22,BI Engineer,금융,경력,2025-02-09,0.483
J02556,A0267,P0017,회사20,BA (Business Analyst),헬스케어,신입,2025-02-09,0.558
J00509,A0053,P0082,회사27,DA (Data Analyst),헬스케어,경력,2025-02-09,0.901
J02505,A0260,P0055,회사30,BA (Business Analyst),리테일,경력,2025-02-09,0.77
J02173,A0222,P0103,회사33,DA (Data Analyst),모바일·APP,신입,2025-02-09,0.356
J02086,A0214,P0099,회사26,BA (Business Analyst),물류,경력,2025-02-09,0.66
J01407,A0141,P0015,회사11,Data Scientist,모바일·APP,신입,2025-02-09,0.198
J02779,A0290,P0018,회사24,BI Engineer,리테일,계약직,2025-02-09,0.727
J03473,A0363,P0098,회사11,Data Scientist,게임,신입,2025-02-10,0.209
J00922,A0094,P0180,회사17,DA (Data Analyst),,계약직,2025-02-10,0.99
J03997,A0414,P0197,회사12,Data Scientist,리테일,신입,2025-02-11,0.735
J02119,A0218,P0017,회사20,BA (Business Analyst),헬스케어,신입,2025-02-11,0.554
J04869,A0509,P0055,회사30,BA (Business Analyst),리테일,경력,2025-02-11,0.105
J00210,A0023,P0017,회사20,BA (Business Analyst),헬스케어,신입,2025-02-11,0.47
J02760,A0289,P0147,회사20,BA (Business Analyst),게임,전환형 인턴,2025-02-11,0.656
J01124,A0116,P0021,회사14,BI Engineer,경영 컨설팅,신입,2025-02-12,0.368
J03423,A0358,P0120,회사26,DA (Data Analyst),게임,신입,2025-02-12,0.681
J01284,A0132,P0214,회사22,BA (Business Analyst),,계약직,2025-02-12,0.438
J02464,A0254,P0027,회사15,DA (Data Analyst),물류,신입,2025-02-12,0.78
J01727,A0172,P0129,회사17,Growth Analyst,경영 컨설팅,신입,2025-02-12,0.355
J02335,A0241,P0236,회사26,BA (Business Analyst),리테일,신입,2025-02-12,0.414
J03456,A0362,P0001,회사22,Product Analyst,물류,신입,2025-02-12,0.657
J04749,A0495,P0231,회사19,Product Analyst,금융,전환형 인턴,2025-02-13,0.887
J00697,A0073,P0122,회사21,Product Analyst,,전환형 인턴,2025-02-13,0.371
J04078,A0424,P0206,회사21,BI Engineer,,경력,2025-02-13,0.602
J01090,A0113,P0185,회사11,DA (Data Analyst),물류,전환형 인턴,2025-02-13,0.521
J01255,A0130,P0130,회사13,Product Analyst,물류,전환형 인턴,2025-02-13,0.498
J01828,A0184,P0215,회사28,BA (Business Analyst),물류,전환형 인턴,2025-02-14,0.854
J02780,A0290,P0056,회사20,Growth Analyst,물류,인턴,2025-02-14,0.576
J01942,A0197,P0158,회사07,BA (Business Analyst),금융,신입,2025-02-14,0.239
J02454,A0252,P0128,회사26,Data Scientist,게임,경력,2025-02-14,0.69
J02166,A0221,P0215,회사28,BA (Business Analyst),물류,전환형 인턴,2025-02-15,0.439
J02557,A0267,P0120,회사26,DA (Data Analyst),게임,신입,2025-02-15,0.098
J01792,A0178,P0212,회사25,BI Engineer,모바일·APP,신입,2025-02-15,0.585
J03172,A0330,P0017,회사20,BA (Business Analyst),헬스케어,신입,2025-02-15,0.415
J03850,A0398,P0205,회사17,Product Analyst,게임,경력,2025-02-15,0.475
J03998,A0414,P0235,회사12,Product Analyst,헬스케어,인턴,2025-02-15,0.463
J00139,A0016,P0043,회사12,BI Engineer,리테일,인턴,2025-02-15,0.598
J01383,A0139,P0032,회사33,Growth Analyst,,인턴,2025-02-15,0.692
J02761,A0289,P0188,회사09,BI Engineer,교육,신입,2025-02-15,0.784
J00628,A0065,P0188,회사09,BI Engineer,교육,신입,2025-02-16,0.698
J01841,A0185,P0170,회사26,Growth Analyst,게임,경력,2025-02-16,0.603
J01408,A0141,P0081,회사34,DA (Data Analyst),교육,계약직,2025-02-16,0.643
J02120,A0218,P0078,회사19,Product Analyst,,경력,2025-02-16,0.99
J03960,A0412,P0222,회사17,Product Analyst,,경력,2025-02-16,0.568
J04388,A0459,P0126,회사16,Growth Analyst,경영 컨설팅,신입,2025-02-17,0.38
J01728,A0172,P0060,회사23,BI Engineer,물류,신입,2025-02-17,0.121
J02174,A0222,P0074,회사20,BI Engineer,배달/배송,신입,2025-02-17,0.276
J03591,A0373,P0211,회사11,Product Analyst,경영 컨설팅,경력,2025-02-17,0.678
J00893,A0093,P0152,회사17,BA (Business Analyst),물류,경력,2025-02-17,0.394
J03096,A0322,P0130,회사13,Product Analyst,물류,전환형 인턴,2025-02-17,0.99
J04051,A0421,P0003,회사28,BA (Business Analyst),교육,전환형 인턴,2025-02-17,0.384
J03324,A0346,P0001,회사22,Product Analyst,물류,신입,2025-02-17,0.388
J04126,A0430,P0069,회사34,BI Engineer,리테일,계약직,2025-02-17,0.451
J02698,A0281,P0084,회사20,Product Analyst,,경력,2025-02-17,0.287
J02903,A0301,P0039,회사23,Product Analyst,모바일·APP,인턴,2025-02-17,0.266
J00520,A0054,P0228,회사31,Growth Analyst,헬스케어,경력,2025-02-17,0.534
J04694,A0490,P0205,회사17,Product Analyst,게임,경력,2025-02-17,0.397
J04523,A0471,P0044,회사22,BI Engineer,경영 컨설팅,계약직,2025-02-18,0.949
J00791,A0084,P0225,회사33,Data Scientist,헬스케어,경력,2025-02-18,0.932
J04403,A0460,P0053,회사31,BA (Business Analyst),헬스케어,경력,2025-02-18,0.265
J04095,A0426,P0064,회사27,Growth Analyst,헬스케어,경력,2025-02-18,0.184
J02928,A0304,P0082,회사27,DA (Data Analyst),헬스케어,경력,2025-02-19,0.846
J03474,A0363,P0013,회사16,Growth Analyst,헬스케어,전환형 인턴,2025-02-19,0.123
J02005,A0206,P0016,회사22,Data Scientist,게임,경력,2025-02-19,0.404
J02465,A0254,P0027,회사15,DA (Data Analyst),물류,신입,2025-02-19,0.664
J03515,A0367,P0030,회사13,DA (Data Analyst),배달/배송,신입,2025-02-19,0.586
J02219,A0228,P0037,회사23,BA (Business Analyst),모바일·APP,경력,2025-02-19,0.536
J04557,A0475,P0187,회사19,BI Engineer,금융,경력,2025-02-20,0.584
J01256,A0130,P0209,회사19,BA (Business Analyst),금융,신입,2025-02-20,0.482
J01609,A0161,P0079,회사08,Growth Analyst,게임,신입,2025-02-20,0.684
J01256,A0130,P0209,회사19,BA (Business Analyst),금융,신입,2025-02-20,0.482
J02506,A0260,P0183,회사11,Product Analyst,,인턴,2025-02-20,0.88
J03542,A0370,P0226,회사34,Growth Analyst,리테일,전환형 인턴,2025-02-21,0.765
J03097,A0322,P0144,회사12,BA (Business Analyst),배달/배송,계약직,2025-02-21,0.99
J00923,A0094,P0090,회사15,DA (Data Analyst),모바일·APP,신입,2025-02-21,0.358
J01943,A0197,P0062,회사21,Data Scientist,경영 컨설팅,경력,2025-02-21,0.29
J03424,A0358,P0018,회사24,BI Engineer,리테일,계약직,2025-02-21,0.569
J01909,A0194,P0151,회사11,Data Scientist,게임,신입,2025-02-21,0.225
J02121,A0218,P0133,회사13,Data Scientist,헬스케어,신입,2025-02-22,0.614
J03999,A0414,P0213,회사19,BI Engineer,물류,신입,2025-02-22,0.257
J02455,A0252,P0023,회사11,Growth Analyst,헬스케어,신입,2025-02-22,0.714
J04524,A0471,P0080,회사19,Growth Analyst,게임,경력,2025-02-23,0.38
J01091,A0113,P0047,회사22,BI Engineer,금융,경력,2025-02-23,0.8
J00510,A0053,P0217,회사34,BA (Business Analyst),미디어,전환형 인턴,2025-02-23,0.693
J01285,A0132,P0033,회사14,BA (Business Analyst),금융,전환형 인턴,2025-02-23,0.508
J04052,A0421,P0211,회사11,Product Analyst,경영 컨설팅,경력,2025-02-23,0.573
J03057,A0318,P0207,회사12,Growth Analyst,게임,신입,2025-02-23,0.713
J01257,A0130,P0091,회사11,Data Scientist,금융,신입,2025-02-24,0.706
J04609,A0482,P0093,회사12,DA (Data Analyst),배달/배송,신입,2025-02-24,0.579
J01829,A0184,P0018,회사24,BI Engineer,리테일,계약직,2025-02-24,0.58
J02404,A0248,P0236,회사26,BA (Business Analyst),리테일,신입,2025-02-24,0.69
J02558,A0267,P0141,회사13,BA (Business Analyst),헬스케어,전환형 인턴,2025-02-24,0.552
J04389,A0459,P0091,회사11,Data Scientist,금융,신입,2025-02-25,0.417
J02466,A0254,P0215,회사28,BA (Business Analyst),물류,전환형 인턴,2025-02-25,0.702
J04781,A0499,P0007,회사14,BA (Business Analyst),경영 컨설팅,전환형 인턴,2025-02-25,0.99
J02762,A0289,P0143,회사23,Product Analyst,교육,인턴,2025-02-25,0.721
J04870,A0509,P0105,회사31,Product Analyst,모바일·APP,경력,2025-02-25,0.381
J02087,A0214,P0228,회사31,Growth Analyst,헬스케어,경력,2025-02-25,0.736
J03690,A0382,P0106,회사16,Data Scientist,물류,신입,2025-02-25,0.639
J03173,A0330,P0135,회사20,Product Analyst,,인턴,2025-02-25,0.619
J04404,A0460,P0110,회사30,Product Analyst,배달/배송,신입,2025-02-25,0.02
J02225,A0229,P0175,회사22,Data Scientist,금융,신입,2025-02-25,0.447
J00497,A0052,P0085,회사26,DA (Data Analyst),물류,경력,2025-02-25,0.454
J03851,A0398,P0167,회사12,DA (Data Analyst),리테일,신입,2025-02-25,0.781
J04564,A0476,P0082,회사27,DA (Data Analyst),헬스케어,경력,2025-02-25,0.092
J00792,A0084,P0051,회사28,Data Scientist,물류,신입,2025-02-26,0.924
J00140,A0016,P0108,회사14,BA (Business Analyst),교육,경력,2025-02-26,0.771
J01182,A0122,P0077,회사15,BA (Business Analyst),,경력,2025-02-26,0.99
J00600,A0063,P0041,회사33,Product Analyst,헬스케어,경력,2025-02-26,0.02
J03457,A0362,P0135,회사20,Product Analyst,,인턴,2025-02-26,0.462
J01125,A0116,P0024,회사11,BI Engineer,게임,전환형 인턴,2025-02-26,0.78
J04558,A0475,P0013,회사16,Growth Analyst,헬스케어,전환형 인턴,2025-02-26,0.649
J04750,A0495,P0195,회사28,Product Analyst,물류,신입,2025-02-26,0.564
J02336,A0241,P0088,회사01,Product Analyst,경영 컨설팅,신입,2025-02-27,0.329
J02699,A0281,P0068,회사24,BI Engineer,리테일,계약직,2025-02-27,0.138
J03913,A0408,P0201,회사33,BA (Business Analyst),물류,경력,2025-02-27,0.389
J03058,A0318,P0238,회사25,BI Engineer,금융,전환형 인턴,2025-02-27,0.865
J04127,A0430,P0078,회사19,Product Analyst,,경력,2025-02-27,0.555
J03475,A0363,P0097,회사23,Growth Analyst,모바일·APP,신입,2025-02-27,0.738
J00211,A0023,P0044,회사22,BI Engineer,경영 컨설팅,계약직,2025-02-27,0.492
J02167,A0221,P0132,회사21,DA (Data Analyst),금융,계약직,2025-02-27,0.793
J01842,A0185,P0092,회사25,Product Analyst,헬스케어,전환형 인턴,2025-02-27,0.653
J03475,A0363,P0097,회사23,Growth Analyst,모바일·APP,신입,2025-02-27,0.738
J04695,A0490,P0091,회사11,Data Scientist,금융,신입,2025-02-27,0.521
J04053,A0421,P0011,회사27,Product Analyst,,신입,2025-02-28,0.444
J01944,A0197,P0186,회사17,Product Analyst,헬스케어,신입,2025-02-28,0.127
J01384,A0139,P0227,회사02,Data Scientist,게임,신입,2025-02-28,0.535
J04011,A0415,P0161,회사21,DA (Data Analyst),리테일,신입,2025-02-28,0.089
J01759,A0175,P0031,회사27,BI Engineer,물류,신입,2025-02-28,0.477
J02735,A0286,P0011,회사27,Product Analyst,,신입,2025-02-28,0.655
J04000,A0414,P0040,회사30,BA (Business Analyst),,신입,2025-02-28,0.656
J00442,A0047,P0154,회사34,BA (Business Analyst),미디어,경력,2025-02-28,0.262
J02929,A0304,P0167,회사12,DA (Data Analyst),리테일,신입,2025-02-28,0.581
J04782,A0499,P0223,회사13,Growth Analyst,미디어,경력,2025-03-01,0.701
J02904,A0301,P0164,회사31,DA (Data Analyst),금융,경력,2025-03-01,0.693
J00924,A0094,P0004,회사19,BA (Business Analyst),교육,신입,2025-03-01,0.502
J02781,A0290,P0238,회사25,BI Engineer,금융,전환형 인턴,2025-03-01,0.243
J00698,A0073,P0019,회사17,Growth Analyst,모바일·APP,인턴,2025-03-01,0.434
J01793,A0178,P0097,회사23,Growth Analyst,모바일·APP,신입,2025-03-01,0.445
J04079,A0424,P0068,회사24,BI Engineer,리테일,계약직,2025-03-01,0.119
J02366,A0244,P0135,회사20,Product Analyst,,인턴,2025-03-01,0.652
J01729,A0172,P0090,회사15,DA (Data Analyst),모바일·APP,신입,2025-03-01,0.595
J01286,A0132,P0206,회사21,BI Engineer,,경력,2025-03-01,0.66
J03961,A0412,P0188,회사09,BI Engineer,교육,신입,2025-03-01,0.154
J04096,A0426,P0071,회사33,Growth Analyst,,신입,2025-03-01,0.17
J02559,A0267,P0130,회사13,Product Analyst,물류,전환형 인턴,2025-03-01,0.268
J01999,A0205,P0085,회사26,DA (Data Analyst),물류,경력,2025-03-02,0.179
J02447,A0251,P0097,회사23,Growth Analyst,모바일·APP,신입,2025-03-02,0.304
J00894,A0093,P0072,회사32,DA (Data Analyst),교육,인턴,2025-03-02,0.77
J03543,A0370,P0061,회사11,Growth Analyst,게임,신입,2025-03-02,0.528
J00312,A0034,P0221,회사32,Growth Analyst,교육,계약직,2025-03-02,0.638
J04390,A0459,P0216,회사17,BA (Business Analyst),모바일·APP,경력,2025-03-02,0.623
J03852,A0398,P0166,회사24,Growth Analyst,헬스케어,신입,2025-03-02,0.62
J01910,A0194,P0154,회사34,BA (Business Analyst),미디어,경력,2025-03-03,0.401
J03592,A0373,P0122,회사21,Product Analyst,,전환형 인턴,2025-03-03,0.858
J03059,A0318,P0121,회사13,Growth Analyst,금융,신입,2025-03-03,0.959
J00661,A0069,P0220,회사22,DA (Data Analyst),리테일,인턴,2025-03-03,0.485
J01409,A0141,P0181,회사12,BA (Business Analyst),,신입,2025-03-03,0.198
J03476,A0363,P0076,회사24,DA (Data Analyst),헬스케어,신입,2025-03-03,0.681
J00056,A0008,P0226,회사34,Growth Analyst,리테일,전환형 인턴,2025-03-03,0.655
J01074,A0111,P0052,회사12,Data Scientist,교육,인턴,2025-03-04,0.201
J04588,A0479,P0028,회사11,BI Engineer,모바일·APP,경력,2025-03-04,0.268
J02736,A0286,P0006,회사24,Growth Analyst,물류,신입,2025-03-04,0.695
J04001,A0414,P0044,회사22,BI Engineer,경영 컨설팅,계약직,2025-03-04,0.677
J02175,A0222,P0208,회사19,DA (Data Analyst),금융,전환형 인턴,2025-03-04,0.514
J00629,A0065,P0129,회사17,Growth Analyst,경영 컨설팅,신입,2025-03-04,0.733
J02467,A0254,P0022,회사29,Data Scientist,,신입,2025-03-04,0.426
J03161,A0329,P0077,회사15,BA (Business Analyst),,경력,2025-03-04,0.719
J02405,A0248,P0097,회사23,Growth Analyst,모바일·APP,신입,2025-03-04,0.435
J00888,A0092,P0230,회사13,DA (Data Analyst),물류,경력,2025-03-04,0.02
J01760,A0175,P0165,회사16,Data Scientist,물류,신입,2025-03-05,0.613
J02456,A0252,P0214,회사22,BA (Business Analyst),,계약직,2025-03-05,0.804
J01794,A0178,P0054,회사11,Growth Analyst,물류,인턴,2025-03-05,0.439
J03425,A0358,P0020,회사21,Data Scientist,리테일,인턴,2025-03-05,0.425
J02006,A0206,P0090,회사15,DA (Data Analyst),모바일·APP,신입,2025-03-05,0.699
J01730,A0172,P0178,회사21,Data Scientist,물류,계약직,2025-03-05,0.436
J03516,A0367,P0108,회사14,BA (Business Analyst),교육,경력,2025-03-05,0.573
J00521,A0054,P0063,회사13,DA (Data Analyst),게임,신입,2025-03-05,0.429
J02220,A0228,P0055,회사30,BA (Business Analyst),리테일,경력,2025-03-06,0.902
J00498,A0052,P0190,회사31,Growth Analyst,,전환형 인턴,2025-03-06,0.547
J03020,A0315,P0206,회사21,BI Engineer,,경력,2025-03-06,0.316
J04128,A0430,P0220,회사22,DA (Data Analyst),리테일,인턴,2025-03-06,0.601
J01371,A0138,P0105,회사31,Product Analyst,모바일·APP,경력,2025-03-06,0.765
J00601,A0063,P0100,회사34,BI Engineer,헬스케어,계약직,2025-03-06,0.112
J03180,A0331,P0004,회사19,BA (Business Analyst),교육,신입,2025-03-06,0.195
J02122,A0218,P0098,회사11,Data Scientist,게임,신입,2025-03-06,0.648
J00040,A0006,P0018,회사24,BI Engineer,리테일,계약직,2025-03-06,0.853
J01963,A0200,P0003,회사28,BA (Business Analyst),교육,전환형 인턴,2025-03-06,0.33
J01410,A0141,P0049,회사30,DA (Data Analyst),물류,계약직,2025-03-07,0.364
J04565,A0476,P0043,회사12,BI Engineer,리테일,인턴,2025-03-07,0.436
J00443,A0047,P0025,회사29,DA (Data Analyst),리테일,인턴,2025-03-07,0.395
